а именно	ADV
а также	CONJ
а то	CONJ
а то и	CONJ
более чем	ADV
в виде	PR
в виду	ADV
в значительной мере	ADV
в качестве	PR
в конечном счете	ADV
в конце концов	ADV
в настоящее время	ADV
в общей сложности	ADV
в одиночку	ADV
в особенности	ADV
в отличие от	PR
в отношении	PR
в первую очередь	ADV
в противном случае	ADV
в связи с	PR
в случае если	CONJ
в соответствии с	PR
в течение	PR
в то время как	CONJ
в том числе	ADV
в ходе	PR
в частности	ADV
во время	PR
во главе	ADV
во избежание	PR
вплоть до	PR
вряд ли	ADV
все же	PART
все равно	ADV
до поры до времени	ADV
до сих пор	ADV
до того как	CONJ
едва ли	ADV
едва не	PART
за исключением	PR
за рубежом	ADV
за счет	PR
как будто	PART
как будто	CONJ
как бы	PART
как бы	ADV
как бы то ни было	ADV
как если бы	CONJ
как минимум	ADV
как раз	ADV
как только	CONJ
коль скоро	CONJ
между прочим	ADV
менее чем	ADV
на плаву	ADV
наравне с	PR
не прочь	ADV
не то	CONJ
невзирая на	PR
несмотря на	PR
ни в коей мере	ADV
ни в коем случае	ADV
ни разу	ADV
никоим образом	ADV
оттого что	CONJ
по крайней мере	ADV
по меньшей мере	ADV
по мере	PR
по мере того как	CONJ
по отношению к	PR
по поводу	PR
по сравнению с	PR
потому что	CONJ
прежде всего	ADV
прежде чем	CONJ
при помощи	PR
разве что	CONJ
разве что	ADV
с помощью	PR
с тех пор	ADV
с тех пор как	CONJ
со стороны	PR
так же	ADV
так же как	CONJ
так и	CONJ
так как	CONJ
так что	CONJ
таким образом	ADV
тем более	ADV
тем не менее	ADV
то есть	ADV
тогда как	CONJ
тому назад	PR
хотя бы	ADV
что ни на есть	PART
чуть не	PART
